"","x"
"AGPAT6",1.29680586985219
"AGPAT9",0.0364257701471207
"AGPS",0.119825572761203
"AGRN",1.61930114115716
"AGT",0.0091507927419807
"AHCYL2",0.0797245445930491
"AHDC1",0.576412847112854
"AHNAK2",1.06751599755697
"AHR",0.865231604087555
"AHRR",1.05351608946621
"AHSA1",2.00089400586061
"AHSA2",0.114191741121665
"AICDA",0.00362395790549891
"AIDA",0.0392385074478724
"AIFM1",0.620260458097905
"AIFM2",0.0774058176990501
"AIFM3",0.000379778091880373
"AIM1",0.0835732299250458
"AIMP1",0.178067993558459
"AJ278121;HSPB6",7.89838957903867
"AJUBA",0.300091873527331
"AK001057",0.0847364269896967
"AK001394",0.00293505438585054
"AK021563",0.00265502187327293
"AK021570",0.00498932303073361
"AK021804",0.26794880971712
