"","gene","TAD"
"ADCY1","ADCY1","TAD_3041"
"ADCY10","ADCY10","TAD_240"
"ADCY2","ADCY2","TAD_2608"
"ADCY4","ADCY4","TAD_974"
"ADCY5","ADCY5","TAD_2342"
"ADCY6;MIR4701","ADCY6;MIR4701","TAD_759"
"ADCY7","ADCY7","TAD_1284"
"ADCY8","ADCY8","TAD_3320"
"ADCY9","ADCY9","TAD_1206"
"ADCYAP1","ADCYAP1","TAD_1504"
"ADCYAP1R1","ADCYAP1R1","TAD_3024"
"ADD1","ADD1","TAD_2436"
"ADD2","ADD2","TAD_1785"
"ADD3","ADD3","TAD_478"
"ADH1A","ADH1A","TAD_2526"
"ADH1B","ADH1B","TAD_2526"
"ADH1C","ADH1C","TAD_2526"
"ADH6","ADH6","TAD_2526"
"ADH7","ADH7","TAD_2526"
"ADI1","ADI1","TAD_1706"
"ADIPOR1","ADIPOR1","TAD_275"
"ADIPOR2","ADIPOR2","TAD_700"
"ADM2","ADM2","TAD_2217"
"ADNP","ADNP","TAD_2074"
"ADNP2","ADNP2","TAD_1574"
"ADO","ADO","TAD_419"
"ADORA1","ADORA1","TAD_276"
"ADORA2B","ADORA2B","TAD_1374"
"ADORA3","ADORA3","TAD_173"
"ADPRH","ADPRH","TAD_2337"
"ADPRHL1","ADPRHL1","TAD_954"
"ADRA1A","ADRA1A","TAD_3231"
"ADRA1B","ADRA1B","TAD_2758"
"ADRA1D","ADRA1D","TAD_1998"
"ADRA2A","ADRA2A","TAD_480"
"ADRA2C","ADRA2C","TAD_2438"
"ADRB1","ADRB1","TAD_484"
"ADRB2","ADRB2","TAD_2745"
"ADRB3","ADRB3","TAD_3243"
"ADRBK1","ADRBK1","TAD_606"
"ADRBK2","ADRBK2","TAD_2172"
"ADRM1","ADRM1","TAD_2091"
"ADSS","ADSS","TAD_335"
"ADV21S1A1N","ADV21S1A1N","TAD_969"
"AEBP1;MIR4649","AEBP1;MIR4649","TAD_3039"
"AEBP2","AEBP2","TAD_727"
"AEN","AEN","TAD_1178"
"AES","AES","TAD_1585"
"AF007147","AF007147","TAD_351"
"AF020763","AF020763","TAD_1189"
"AF035281;LOC155060;ZNF783","AF035281;LOC155060;ZNF783","TAD_3175"
"AF055024","AF055024","TAD_1985"
"AF070581","AF070581","TAD_3629"
"AF072097","AF072097","TAD_1260"
"AF075112","AF075112","TAD_1500"
"AF085962","AF085962","TAD_516"
"AF086102","AF086102","TAD_91"
"AF086125","AF086125","TAD_1294"
"AF086126","AF086126","TAD_1245"
"AF086132","AF086132","TAD_1284"
"AF086154","AF086154","TAD_507"
"AF086184","AF086184","TAD_643"
"AF086203","AF086203","TAD_3134"
"AF086219","AF086219","TAD_3234"
"AF086258","AF086258","TAD_2983"
"AF086285","AF086285","TAD_1757"
"AF086288","AF086288","TAD_847"
"AF086294","AF086294","TAD_2727"
"AF086303","AF086303","TAD_2889"
"AF086351","AF086351","TAD_220"
"AF086476","AF086476","TAD_1400"
"AF090102","AF090102","TAD_1786"
"AF090939","AF090939","TAD_2319"
"AF113016","AF113016","TAD_602"
"AF119915","AF119915","TAD_79"
"AF143870","AF143870","TAD_2057"
"AF143871","AF143871","TAD_1285"
"AF157115","AF157115","TAD_2754"
"AF161365","AF161365","TAD_1609"
"AF161442","AF161442","TAD_3484"
"AF188711","AF188711","TAD_1124"
"AF198444","AF198444","TAD_1192"
"AF216583","AF216583","TAD_2922"
"AF279775","AF279775","TAD_1979"
"AF279780","AF279780","TAD_2398"
"AF279782","AF279782","TAD_2224"
"AF283776","AF283776","TAD_1921"
"AF289551","AF289551","TAD_1483"
"AF339801","AF339801","TAD_939"
"AF387615","AF387615","TAD_257"
"AF397448","AF397448","TAD_3166"
"AF420437","AF420437","TAD_192"
"AF452719","AF452719","TAD_1291"
"AF508906","AF508906","TAD_261"
"AF508907","AF508907","TAD_261"
"AF520419","AF520419","TAD_2915"
"AF520792","AF520792","TAD_3132"
"AF520793","AF520793","TAD_3132"
"AF548120","AF548120","TAD_2803"
"AFAP1","AFAP1","TAD_2443"
"AFAP1L1","AFAP1L1","TAD_2745"
"AFAP1L2","AFAP1L2","TAD_485"
"AFF1","AFF1","TAD_2516"
"AFF2","AFF2","TAD_3665"
"AFF4","AFF4","TAD_2726"
"AFM","AFM","TAD_2498"
"AFMID","AFMID","TAD_1487"
"AFP","AFP","TAD_2498"
"AFTPH","AFTPH","TAD_1776"
"AGA","AGA","TAD_2587"
"AGAP1","AGAP1","TAD_1980"
"AGAP3;AX747175","AGAP3;AX747175","TAD_3179"
"AGAP4","AGAP4","TAD_396"
"AGAP6","AGAP6","TAD_409"
"AGAP7","AGAP7","TAD_407"
"AGAP8","AGAP8","TAD_402"
"AGAP9;FLJ00312;AK309024","AGAP9;FLJ00312;AK309024","TAD_400"
"AGBL1","AGBL1","TAD_1177"
"AGBL2","AGBL2","TAD_570"
"AGBL3","AGBL3","TAD_3157"
"AGBL4","AGBL4","TAD_102"
"AGBL5","AGBL5","TAD_1732"
"AGER","AGER","TAD_2833"
"AGFG1","AGFG1","TAD_1968"
"AGFG2","AGFG2","TAD_3120"
"AGGF1","AGGF1","TAD_2682"
"AGK","AGK","TAD_3165"
"AGL","AGL","TAD_157"
"AGMAT","AGMAT","TAD_32"
"AGMO","AGMO","TAD_3007"
"AGPAT1","AGPAT1","TAD_2833"
"AGPAT2","AGPAT2","TAD_3484"
"AGPAT3","AGPAT3","TAD_2139"
"AGPAT4","AGPAT4","TAD_2978"
"AGPAT4-IT1","AGPAT4-IT1","TAD_2978"
"AGPAT5","AGPAT5","TAD_3198"
"AGPAT6","AGPAT6","TAD_3248"
"AGPAT9","AGPAT9","TAD_2512"
"AGPHD1","AGPHD1","TAD_1165"
"AGPS","AGPS","TAD_1923"
"AGR2","AGR2","TAD_3008"
"AGR3","AGR3","TAD_3008"
"AGRN","AGRN","TAD_2"
"AGT","AGT","TAD_320"
"AGTPBP1","AGTPBP1","TAD_3399"
"AGTR1","AGTR1","TAD_2370"
"AGTR2","AGTR2","TAD_3630"
"AGTRAP","AGTRAP","TAD_25"
"AGXT","AGXT","TAD_1986"
"AGXT2L1","AGXT2L1","TAD_2535"
"AHCYL2","AHCYL2","TAD_3150"
"AHDC1","AHDC1","TAD_61"
"AHI1","AHI1","TAD_2946"
"AHNAK","AHNAK","TAD_592"
"AHNAK2","AHNAK2","TAD_1064"
"AHR","AHR","TAD_3008"
"AHRR","AHRR","TAD_2602"
"AHSA1","AHSA1","TAD_1036"
"AHSA2","AHSA2","TAD_1771"
"AHSG","AHSG","TAD_2412"
"AICDA","AICDA","TAD_714"
"AIDA","AIDA","TAD_304"
"AIF1L","AIF1L","TAD_3474"
"AIFM1","AIFM1","TAD_3644"
"AIFM2","AIFM2","TAD_425"
"AIFM3","AIFM3","TAD_2159"
"AIG1","AIG1","TAD_2953"
"AIM1","AIM1","TAD_2914"
"AIM1L","AIM1L","TAD_59"
"AIMP1","AIMP1","TAD_2533"
"AIP","AIP","TAD_606"
"AIRE","AIRE","TAD_2140"
"AJ004954","AJ004954","TAD_1076"
"AJ276246","AJ276246","TAD_1346"
"AJ278121;HSPB6","AJ278121;HSPB6","TAD_1648"
"AJ420566","AJ420566","TAD_2791"
"AJ606316","AJ606316","TAD_2947"
"AJ606330","AJ606330","TAD_2945"
"AJ606331","AJ606331","TAD_2945"
"AJAP1","AJAP1","TAD_13"
"AJUBA","AJUBA","TAD_971"
"AK000470","AK000470","TAD_3491"
"AK000798","AK000798","TAD_1981"
"AK000840","AK000840","TAD_2642"
"AK001057","AK001057","TAD_860"
"AK001351","AK001351","TAD_3301"
"AK001394","AK001394","TAD_2591"
"AK001558","AK001558","TAD_1720"
"AK001582","AK001582","TAD_2752"
"AK001875","AK001875","TAD_653"
"AK002090","AK002090","TAD_1920"
"AK021537","AK021537","TAD_1293"
"AK021551","AK021551","TAD_159"
"AK021563","AK021563","TAD_1311"
"AK021570","AK021570","TAD_3343"
"AK021664","AK021664","TAD_1118"
"AK021739","AK021739","TAD_3338"
"AK021804","AK021804","TAD_676"
"AK021876","AK021876","TAD_1296"
"AK021888","AK021888","TAD_2706"
"AK021977","AK021977","TAD_895"
"AK022793","AK022793","TAD_1632"
"AK022898","AK022898","TAD_147"
"AK022993","AK022993","TAD_2969"
"AK022997","AK022997","TAD_802"
"AK023033","AK023033","TAD_3034"
"AK023040","AK023040","TAD_1632"
"AK023178;PP7080","AK023178;PP7080","TAD_2602"
"AK023304","AK023304","TAD_1610"
"AK023417;BC126296","AK023417;BC126296","TAD_2690"
"AK023457","AK023457","TAD_173"
"AK023515","AK023515","TAD_1914"
"AK023566","AK023566","TAD_1904"
"AK023614","AK023614","TAD_2052"
"AK023627","AK023627","TAD_2984"
"AK023629","AK023629","TAD_2791"
"AK024119","AK024119","TAD_1662"
"AK024134","AK024134","TAD_785"
