"","gene","TAD"
"LOC645431","LOC645431","TAD_1015"
"LOC645434","LOC645434","TAD_2951"
"LOC645591","LOC645591","TAD_3131"
"LOC645676;BC017347","LOC645676;BC017347","TAD_219"
"LOC645895","LOC645895","TAD_3269"
"LOC645949","LOC645949","TAD_1726"
"LOC646168","LOC646168","TAD_2391"
"LOC646324","LOC646324","TAD_1957"
"LOC646498","LOC646498","TAD_2274"
"LOC646508","LOC646508","TAD_1692"
"LOC646576","LOC646576","TAD_2558"
"LOC646627","LOC646627","TAD_340"
"LOC646743","LOC646743","TAD_1875"
"LOC646813","LOC646813","TAD_577"
"LOC646851","LOC646851","TAD_2195"
"LOC646862","LOC646862","TAD_1703"
"LOC646903","LOC646903","TAD_2374"
"LOC646999","LOC646999","TAD_3035"
"LOC647107","LOC647107","TAD_2389"
"LOC647323","LOC647323","TAD_2417"
"LOC647589","LOC647589","TAD_864"
"LOC647946","LOC647946","TAD_1535"
"LOC647979","LOC647979","TAD_2044"
"LOC648232","LOC648232","TAD_2886"
"LOC648691","LOC648691","TAD_2164"
"LOC648987","LOC648987","TAD_2643"
"LOC649133","LOC649133","TAD_672"
"LOC649305","LOC649305","TAD_3211"
"LOC649395","LOC649395","TAD_3067"
"LOC650623","LOC650623","TAD_439"
"LOC653061","LOC653061","TAD_1079"
"LOC653075","LOC653075","TAD_1090"
"LOC653160","LOC653160","TAD_78"
"LOC653501;ZNF658B","LOC653501;ZNF658B","TAD_3369"
"LOC653513","LOC653513","TAD_194"
"LOC653739","LOC653739","TAD_3157"
"LOC653786","LOC653786","TAD_1247"
"LOC654433","LOC654433","TAD_1859"
"LOC678655","LOC678655","TAD_709"
"LOC727677","LOC727677","TAD_3317"
"LOC727710","LOC727710","TAD_1328"
"LOC727849;AGSK1","LOC727849;AGSK1","TAD_1169"
"LOC727896","LOC727896","TAD_1505"
"LOC727924","LOC727924","TAD_1075"
"LOC727982","LOC727982","TAD_1708"
"LOC728012","LOC728012","TAD_2910"
"LOC728175","LOC728175","TAD_2592"
"LOC728228","LOC728228","TAD_1998"
"LOC728405","LOC728405","TAD_2446"
"LOC728407","LOC728407","TAD_407"
"LOC728554","LOC728554","TAD_2779"
"LOC728558","LOC728558","TAD_460"
"LOC728606","LOC728606","TAD_1529"
"LOC728640","LOC728640","TAD_415"
"LOC728723","LOC728723","TAD_2682"
"LOC728724","LOC728724","TAD_3318"
"LOC728730","LOC728730","TAD_1746"
"LOC728739","LOC728739","TAD_828"
"LOC728743","LOC728743","TAD_3178"
"LOC728752","LOC728752","TAD_1649"
"LOC728819","LOC728819","TAD_1752"
"LOC728855;BC047032","LOC728855;BC047032","TAD_207"
"LOC728875","LOC728875","TAD_192"
"LOC728978","LOC728978","TAD_428"
"LOC729013","LOC729013","TAD_533"
"LOC729020","LOC729020","TAD_474"
"LOC729041","LOC729041","TAD_98"
"LOC729059","LOC729059","TAD_51"
"LOC729080","LOC729080","TAD_2739"
"LOC729121","LOC729121","TAD_1843"
"LOC729177","LOC729177","TAD_2816"
"LOC729264","LOC729264","TAD_1270"
"LOC729444","LOC729444","TAD_2157"
"LOC729506","LOC729506","TAD_2610"
"LOC729603","LOC729603","TAD_2976"
"LOC729609","LOC729609","TAD_3512"
"LOC729678","LOC729678","TAD_2786"
"LOC729737;DQ575018","LOC729737;DQ575018","TAD_1"
"LOC729852","LOC729852","TAD_3003"
"LOC729862","LOC729862","TAD_2625"
"LOC729911","LOC729911","TAD_1166"
"LOC729950","LOC729950","TAD_1528"
"LOC729966","LOC729966","TAD_1625"
"LOC729970","LOC729970","TAD_153"
"LOC730091","LOC730091","TAD_2383"
"LOC730101","LOC730101","TAD_2866"
"LOC730159","LOC730159","TAD_245"
"LOC730227","LOC730227","TAD_276"
"LOC730441","LOC730441","TAD_3165"
"LOC730668","LOC730668","TAD_2212"
"LOC730755","LOC730755","TAD_1421"
"LOC730811","LOC730811","TAD_1706"
"LOC731223","LOC731223","TAD_1031"
"LOC731275","LOC731275","TAD_333"
"LOC731424;BC016366","LOC731424;BC016366","TAD_2593"
"LOC731779","LOC731779","TAD_3327"
"LOC732275","LOC732275","TAD_1330"
"LOC79015","LOC79015","TAD_2057"
"LOC80054","LOC80054","TAD_1641"
"LOC84931","LOC84931","TAD_1866"
"LOC84989","LOC84989","TAD_420"
"LOC90246","LOC90246","TAD_2348"
"LOC90784","LOC90784","TAD_1799"
"LOC91149","LOC91149","TAD_1919"
"LOC91948","LOC91948","TAD_1188"
"LOC93432","LOC93432","TAD_3165"
"LOC96610;abParts;IGHCgamma1;BC011773;AK128525;Ig kappa","LOC96610;abParts;IGHCgamma1;BC011773;AK128525;Ig kappa","TAD_1808"
"LONRF2","LONRF2","TAD_1833"
"LONRF3","LONRF3","TAD_3634"
"LOR","LOR","TAD_215"
"LOX","LOX","TAD_2718"
"LOXHD1","LOXHD1","TAD_1538"
"LOXL2","LOXL2","TAD_3225"
"LOXL3","LOXL3","TAD_1791"
"LOXL4","LOXL4","TAD_464"
"LPA","LPA","TAD_2977"
"LPAR1","LPAR1","TAD_3439"
"LPAR2","LPAR2","TAD_1629"
"LPAR3","LPAR3","TAD_141"
"LPAR4","LPAR4","TAD_3575"
"LPAR5","LPAR5","TAD_710"
"LPAR6","LPAR6","TAD_910"
"LPCAT1","LPCAT1","TAD_2603"
"LPCAT2","LPCAT2","TAD_1288"
"LPCAT3","LPCAT3","TAD_711"
"LPGAT1","LPGAT1","TAD_293"
"LPHN1","LPHN1","TAD_1616"
"LPHN2","LPHN2","TAD_137"
"LPHN3","LPHN3","TAD_2489"
"LPIN1","LPIN1","TAD_1719"
"LPIN2","LPIN2","TAD_1505"
"LPIN3","LPIN3","TAD_2052"
"LPL","LPL","TAD_3218"
"LPO","LPO","TAD_1452"
"LPP","LPP","TAD_2414"
"LPP-AS2","LPP-AS2","TAD_2414"
"LPPR1","LPPR1","TAD_3431"
"LPPR2","LPPR2","TAD_1609"
"LPPR3","LPPR3","TAD_1578"
"LPPR4","LPPR4","TAD_156"
"LPPR5","LPPR5","TAD_156"
"LQFBS-1","LQFBS-1","TAD_3474"
"LRAT","LRAT","TAD_2569"
"LRBA","LRBA","TAD_2564"
"LRCH1;AK123654","LRCH1;AK123654","TAD_907"
"LRCH2","LRCH2","TAD_3629"
"LRCH3","LRCH3","TAD_2428"
"LRCH4;ZASP","LRCH4;ZASP","TAD_3120"
"LRFN1","LRFN1","TAD_1653"
"LRFN2","LRFN2","TAD_2848"
"LRFN3","LRFN3","TAD_1648"
"LRFN4","LRFN4","TAD_605"
"LRFN5","LRFN5","TAD_991"
"LRGUK","LRGUK","TAD_3157"
"LRIF1","LRIF1","TAD_172"
"LRIG1","LRIG1","TAD_2299"
"LRIG3","LRIG3","TAD_783"
"LRIT1;LRRC21","LRIT1;LRRC21","TAD_444"
"LRIT2","LRIT2","TAD_444"
"LRIT3","LRIT3","TAD_2536"
"LRMP","LRMP","TAD_731"
"LRP10","LRP10","TAD_970"
"LRP11","LRP11","TAD_2964"
"LRP1;MIR1228","LRP1;MIR1228","TAD_779"
"LRP1B","LRP1B","TAD_1886"
"LRP2","LRP2","TAD_1912"
"LRP2BP","LRP2BP","TAD_2593"
"LRP3","LRP3","TAD_1640"
"LRP5","LRP5","TAD_607"
"LRP6","LRP6","TAD_721"
"LRRC1","LRRC1","TAD_2869"
"LRRC10","LRRC10","TAD_793"
"LRRC10B","LRRC10B","TAD_589"
"LRRC14B","LRRC14B","TAD_2601"
"LRRC16A","LRRC16A","TAD_2819"
"LRRC17","LRRC17","TAD_3128"
"LRRC18","LRRC18","TAD_405"
"LRRC19","LRRC19","TAD_3353"
"LRRC2","LRRC2","TAD_2268"
"LRRC20","LRRC20","TAD_426"
"LRRC25","LRRC25","TAD_1625"
"LRRC26","LRRC26","TAD_3485"
"LRRC27","LRRC27","TAD_507"
"LRRC3","LRRC3","TAD_2140"
"LRRC30","LRRC30","TAD_1508"
"LRRC31","LRRC31","TAD_2392"
"LRRC32","LRRC32","TAD_625"
"LRRC33","LRRC33","TAD_2425"
"LRRC34","LRRC34","TAD_2392"
"LRRC36","LRRC36","TAD_1296"
"LRRC37A","LRRC37A","TAD_1436"
"LRRC37A2","LRRC37A2","TAD_1437"
"LRRC39","LRRC39","TAD_157"
"LRRC3B","LRRC3B","TAD_2246"
"LRRC4","LRRC4","TAD_3148"
"LRRC42","LRRC42","TAD_111"
"LRRC43","LRRC43","TAD_850"
"LRRC45","LRRC45","TAD_1499"
"LRRC46","LRRC46","TAD_1440"
"LRRC48","LRRC48","TAD_1380"
"LRRC49","LRRC49","TAD_1151"
"LRRC4B","LRRC4B","TAD_1688"
"LRRC4C","LRRC4C","TAD_560"
"LRRC52","LRRC52","TAD_237"
"LRRC55","LRRC55","TAD_581"
"LRRC57","LRRC57","TAD_1111"
"LRRC58","LRRC58","TAD_2338"
"LRRC6","LRRC6","TAD_3321"
"LRRC63","LRRC63","TAD_906"
"LRRC66","LRRC66","TAD_2483"
"LRRC69","LRRC69","TAD_3285"
"LRRC7","LRRC7","TAD_129"
"LRRC70","LRRC70","TAD_2666"
"LRRC71","LRRC71","TAD_223"
"LRRC72","LRRC72","TAD_3008"
"LRRC8A","LRRC8A","TAD_3467"
"LRRC8B","LRRC8B","TAD_146"
"LRRC8C","LRRC8C","TAD_146"
"LRRC8D","LRRC8D","TAD_146"
"LRRD1","LRRD1","TAD_3108"
"LRRFIP1","LRRFIP1","TAD_1983"
"LRRFIP2","LRRFIP2","TAD_2255"
"LRRIQ1","LRRIQ1","TAD_803"
"LRRIQ3","LRRIQ3","TAD_132"
"LRRIQ4","LRRIQ4","TAD_2392"
"LRRK1","LRRK1","TAD_1192"
"LRRK2","LRRK2","TAD_749"
"LRRN1","LRRN1","TAD_2221"
"LRRN2","LRRN2","TAD_280"
"LRRN3","LRRN3","TAD_3137"
"LRRN4","LRRN4","TAD_2001"
"LRRN4CL","LRRN4CL","TAD_593"
"LRRTM1","LRRTM1","TAD_1794"
"LRRTM2","LRRTM2","TAD_2735"
"LRRTM3","LRRTM3","TAD_422"
"LRRTM4","LRRTM4","TAD_1794"
"LRTM1","LRTM1","TAD_2287"
"LRTM2","LRTM2","TAD_700"
"LRTOMT","LRTOMT","TAD_617"
"LSAMP-AS3","LSAMP-AS3","TAD_2335"
"LSM1","LSM1","TAD_3243"
"LSM10","LSM10","TAD_81"
"LSM12","LSM12","TAD_1428"
"LSM14B","LSM14B","TAD_2089"
"LSM2","LSM2","TAD_2831"
"LSM4","LSM4","TAD_1625"
"LSM6","LSM6","TAD_2560"
"LSM7","LSM7","TAD_1582"
"LSMD1","LSMD1","TAD_1360"
"LSP1","LSP1","TAD_516"
"LSS","LSS","TAD_2144"
"LST1","LST1","TAD_2830"
"LTA","LTA","TAD_2830"
"LTA4H","LTA4H","TAD_816"
"LTB","LTB","TAD_2830"
"LTB4R","LTB4R","TAD_974"
"LTB4R2","LTB4R2","TAD_974"
"LTBP1","LTBP1","TAD_1740"
"LTBP2","LTBP2","TAD_1029"
"LTBP4","LTBP4","TAD_1656"
"LTBR","LTBR","TAD_709"
"LTC4S;MAML1","LTC4S;MAML1","TAD_2783"
"LTF","LTF","TAD_2268"
"LTK","LTK","TAD_1109"
"LTV1;AX746989","LTV1;AX746989","TAD_2954"
"LUC7L","LUC7L","TAD_1196"
"LUM","LUM","TAD_809"
"LUZP1","LUZP1","TAD_51"
"LUZP2","LUZP2","TAD_547"
"LUZP4","LUZP4","TAD_3629"
"LXN","LXN","TAD_2386"
"LY6D","LY6D","TAD_3328"
"LY6E","LY6E","TAD_3328"
"LY6G5B","LY6G5B","TAD_2831"
"LY6G5C","LY6G5C","TAD_2831"
"LY6G6C","LY6G6C","TAD_2831"
"LY6G6D","LY6G6D","TAD_2831"
"LY6G6E","LY6G6E","TAD_2831"
"LY6G6F","LY6G6F","TAD_2831"
"LY6H","LY6H","TAD_3328"
"LY6K","LY6K","TAD_3328"
"LY75","LY75","TAD_1904"
"LY75-CD302","LY75-CD302","TAD_1904"
"LY86-AS1","LY86-AS1","TAD_2799"
"LY9","LY9","TAD_230"
"LY96","LY96","TAD_3273"
"LYAR","LYAR","TAD_2439"
"LYG1","LYG1","TAD_1832"
"LYG2","LYG2","TAD_1832"
"LYL1","LYL1","TAD_1612"
"LYN","LYN","TAD_3260"
"LYNX1","LYNX1","TAD_3328"
"LYPD1","LYPD1","TAD_1880"
"LYPD2","LYPD2","TAD_3328"
"LYPD3","LYPD3","TAD_1665"
"LYPD6","LYPD6","TAD_1892"
"LYPD6B","LYPD6B","TAD_1892"
"LYPLA1","LYPLA1","TAD_3259"
"LYPLA2","LYPLA2","TAD_52"
"LYPLAL1","LYPLAL1","TAD_299"
"LYRM1","LYRM1","TAD_1240"
"LYRM2","LYRM2","TAD_2901"
"LYRM4","LYRM4","TAD_2798"
"LYRM7","LYRM7","TAD_2725"
"LYSMD1","LYSMD1","TAD_211"
"LYSMD2","LYSMD2","TAD_1124"
"LYSMD3","LYSMD3","TAD_2692"
"LYSMD4","LYSMD4","TAD_1190"
"LYST","LYST","TAD_327"
"LYVE1","LYVE1","TAD_532"
"LYZ;E02193","LYZ;E02193","TAD_793"
"LYZL1","LYZL1","TAD_374"
"LYZL4","LYZL4","TAD_2264"
"LZIC","LZIC","TAD_22"
"LZTFL1","LZTFL1","TAD_2268"
"LZTR1","LZTR1","TAD_2159"
"LZTS1","LZTS1","TAD_3219"
"M1","M1","TAD_417"
"M37726","M37726","TAD_1"
"M55536","M55536","TAD_2763"
"M6PR","M6PR","TAD_714"
"MAB21L1","MAB21L1","TAD_891"
"MAB21L2","MAB21L2","TAD_2565"
"MACC1","MACC1","TAD_3009"
"MACF1","MACF1","TAD_85"
"MACROD1","MACROD1","TAD_597"
"MACROD2","MACROD2","TAD_2010"
"MACROD2-AS1","MACROD2-AS1","TAD_2010"
"MAD2L2","MAD2L2","TAD_25"
"MADD","MADD","TAD_569"
"MAEA","MAEA","TAD_2433"
"MAEL","MAEL","TAD_240"
"MAF","MAF","TAD_1320"
"MAF1","MAF1","TAD_3329"
"MAFA","MAFA","TAD_3329"
"MAFB","MAFB","TAD_2051"
"MAFF","MAFF","TAD_2194"
"MAFG","MAFG","TAD_1499"
"MAFG-AS1","MAFG-AS1","TAD_1499"
"MAGEA10","MAGEA10","TAD_3670"
"MAGEA10-MAGEA5","MAGEA10-MAGEA5","TAD_3670"
"MAGEA11","MAGEA11","TAD_3666"
"MAGEA3","MAGEA3","TAD_3671"
"MAGEA4","MAGEA4","TAD_3670"
"MAGEA5","MAGEA5","TAD_3670"
"MAGEA9;MAGEA9B","MAGEA9;MAGEA9B","TAD_3666"
"MAGEB1","MAGEB1","TAD_3522"
"MAGEB10","MAGEB10","TAD_3520"
"MAGEB16","MAGEB16","TAD_3523"
"MAGEB18","MAGEB18","TAD_3519"
"MAGEB2","MAGEB2","TAD_3522"
"MAGEB3","MAGEB3","TAD_3522"
"MAGEB4","MAGEB4","TAD_3522"
"MAGEB6","MAGEB6","TAD_3519"
"MAGEC1","MAGEC1","TAD_3661"
"MAGEC2","MAGEC2","TAD_3661"
"MAGEC3","MAGEC3","TAD_3661"
"MAGED1","MAGED1","TAD_3540"
"MAGED2","MAGED2","TAD_3547"
"MAGED4B","MAGED4B","TAD_3541"
"MAGEE1","MAGEE1","TAD_3573"
"MAGEE2","MAGEE2","TAD_3573"
"MAGEF1","MAGEF1","TAD_2407"
"MAGEH1","MAGEH1","TAD_3547"
"MAGI1;AK124433","MAGI1;AK124433","TAD_2296"
"MAGI2","MAGI2","TAD_3096"
"MAGI2-AS3","MAGI2-AS3","TAD_3096"
"MAGI3","MAGI3","TAD_177"
"MAGIX","MAGIX","TAD_3535"
"MAGOHB","MAGOHB","TAD_718"
"MAGT1","MAGT1","TAD_3574"
"MAK","MAK","TAD_2804"
"MAK16","MAK16","TAD_3241"
"MAL","MAL","TAD_1821"
"MAL2","MAL2","TAD_3307"
"MALAT1","MALAT1","TAD_602"
"MALL","MALL","TAD_1850"
"MALT1","MALT1","TAD_1556"
"MAMDC2","MAMDC2","TAD_3382"
"MAMDC4","MAMDC4","TAD_3485"
"MAML2","MAML2","TAD_646"
"MAML3","MAML3","TAD_2554"
"MAMLD1","MAMLD1","TAD_3667"
"MAMSTR","MAMSTR","TAD_1681"
"MAN1A1","MAN1A1","TAD_2929"
"MAN1A2","MAN1A2","TAD_183"
"MAN1B1","MAN1B1","TAD_3485"
"MAN1C1","MAN1C1","TAD_58"
"MAN2A1","MAN2A1","TAD_2706"
"MAN2A2","MAN2A2","TAD_1183"
"MAN2B2","MAN2B2","TAD_2440"
"MANBA","MANBA","TAD_2528"
"MANBAL","MANBAL","TAD_2047"
"MANEA","MANEA","TAD_2907"
"MANEAL","MANEAL","TAD_83"
"MANSC1","MANSC1","TAD_721"
"MANSC4","MANSC4","TAD_735"
"MAOA","MAOA","TAD_3530"
"MAOB","MAOB","TAD_3530"
"MAP1A","MAP1A","TAD_1113"
"MAP1B","MAP1B","TAD_2676"
"MAP1LC3A","MAP1LC3A","TAD_2039"
"MAP1LC3B2","MAP1LC3B2","TAD_842"
"MAP1LC3C","MAP1LC3C","TAD_331"
"MAP1S","MAP1S","TAD_1624"
"MAP2","MAP2","TAD_1954"
"MAP2K1","MAP2K1","TAD_1143"
"MAP2K2","MAP2K2","TAD_1589"
"MAP2K3","MAP2K3","TAD_1388"
"MAP2K4","MAP2K4","TAD_1369"
"MAP2K5","MAP2K5","TAD_1146"
"MAP2K6","MAP2K6","TAD_1475"
"MAP3K10","MAP3K10","TAD_1655"
"MAP3K14","MAP3K14","TAD_1432"
"MAP3K2","MAP3K2","TAD_1870"
"MAP3K3","MAP3K3","TAD_1463"
"MAP3K4","MAP3K4","TAD_2978"
"MAP3K6","MAP3K6","TAD_61"
"MAP3K8","MAP3K8","TAD_376"
"MAP3K9","MAP3K9","TAD_1023"
"MAP4","MAP4","TAD_2271"
"MAP4K1","MAP4K1","TAD_1652"
"MAP4K3","MAP4K3","TAD_1745"
"MAP4K4","MAP4K4","TAD_1836"
"MAP4K5","MAP4K5","TAD_997"
"MAP6","MAP6","TAD_625"
"MAP7;AB073649","MAP7;AB073649","TAD_2948"
"MAP7D1","MAP7D1","TAD_81"
"MAP7D2","MAP7D2","TAD_3512"
"MAP7D3","MAP7D3","TAD_3654"
"MAP9","MAP9","TAD_2569"
"MAPK1","MAPK1","TAD_2162"
"MAPK10","MAPK10","TAD_2514"
"MAPK11","MAPK11","TAD_2217"
"MAPK13","MAPK13","TAD_2842"
"MAPK14","MAPK14","TAD_2842"
"MAPK15","MAPK15","TAD_3329"
"MAPK4","MAPK4","TAD_1546"
"MAPK6","MAPK6","TAD_1124"
"MAPK7","MAPK7","TAD_1386"
"MAPK8","MAPK8","TAD_403"
"MAPK8IP1","MAPK8IP1","TAD_566"
"MAPK8IP2","MAPK8IP2","TAD_2217"
"MAPK8IP3","MAPK8IP3","TAD_1200"
"MAPK9","MAPK9","TAD_2784"
"MAPKAPK2","MAPKAPK2","TAD_286"
"MAPKAPK3","MAPKAPK3","TAD_2278"
"MAPKAPK5","MAPKAPK5","TAD_835"
"MAPKBP1","MAPKBP1","TAD_1109"
"MAPRE2","MAPRE2","TAD_1532"
"MAPRE3","MAPRE3","TAD_1732"
"MAPT","MAPT","TAD_1434"
"MARC2","MARC2","TAD_301"
"MARCH1","MARCH1","TAD_2574"
"MARCH10","MARCH10","TAD_1462"
"MARCH11","MARCH11","TAD_2615"
"MARCH2","MARCH2","TAD_1601"
"MARCH3","MARCH3","TAD_2722"
"MARCH4","MARCH4","TAD_1958"
"MARCH5","MARCH5","TAD_454"
"MARCH6","MARCH6","TAD_2611"
"MARCH7","MARCH7","TAD_1904"
"MARCH8","MARCH8","TAD_395"
"MARCO","MARCO","TAD_1865"
"MARK1","MARK1","TAD_301"
"MARK2","MARK2","TAD_597"
"MARK2P9","MARK2P9","TAD_454"
"MARK4","MARK4","TAD_1668"
"MARS2","MARS2","TAD_1940"
"MARVELD2","MARVELD2","TAD_2672"
"MAS1","MAS1","TAD_2976"
"MAS1L","MAS1L","TAD_2825"
"MASP1","MASP1","TAD_2413"
"MAST1","MAST1","TAD_1611"
"MAST2","MAST2","TAD_97"
"MAST3","MAST3","TAD_1625"
"MAST4","MAST4","TAD_2670"
"MASTL","MASTL","TAD_372"
"MAT2A","MAT2A","TAD_1798"
"MATK","MATK","TAD_1588"
"MATL2963","MATL2963","TAD_711"
"MATN2","MATN2","TAD_3292"
"MATN3","MATN3","TAD_1724"
"MAU2","MAU2","TAD_1628"
"MAVS","MAVS","TAD_1998"
"MAZ","MAZ","TAD_1261"
"MB","MB","TAD_2187"
"MB21D1","MB21D1","TAD_2888"
"MBD1","MBD1","TAD_1545"
"MBD2","MBD2","TAD_1549"
"MBD3","MBD3","TAD_1581"
"MBD3L1","MBD3L1","TAD_1602"
"MBD4","MBD4","TAD_2351"
"MBD5;AK001975","MBD5;AK001975","TAD_1891"
"MBIP","MBIP","TAD_987"
"MBLAC1","MBLAC1","TAD_3119"
"MBLAC2","MBLAC2","TAD_2692"
"MBNL1","MBNL1","TAD_2376"
"MBNL2","MBNL2","TAD_937"
"MBNL3","MBNL3","TAD_3647"
"MBOAT2","MBOAT2","TAD_1711"
"MBP;AK094611","MBP;AK094611","TAD_1571"
"MBTD1","MBTD1","TAD_1445"
"MBTPS1","MBTPS1","TAD_1325"
"MBTPS2","MBTPS2","TAD_3515"
"MC2R","MC2R","TAD_1517"
"MC4R","MC4R","TAD_1558"
"MCAM","MCAM","TAD_670"
"MCART2","MCART2","TAD_1530"
"MCART3P","MCART3P","TAD_2886"
"MCC","MCC","TAD_2710"
"MCCC1","MCCC1","TAD_2403"
"MCCC2","MCCC2","TAD_2675"
"MCEE","MCEE","TAD_1786"
"MCF2","MCF2","TAD_3656"
"MCF2L","MCF2L","TAD_954"
"MCF2L-AS1","MCF2L-AS1","TAD_954"
"MCF2L2","MCF2L2","TAD_2403"
"MCHR1","MCHR1","TAD_2200"
"MCHR2","MCHR2","TAD_2910"
"MCM3AP","MCM3AP","TAD_2144"
"MCM3AP-AS1","MCM3AP-AS1","TAD_2144"
"MCM5","MCM5","TAD_2187"
"MCM7","MCM7","TAD_3119"
"MCM8","MCM8","TAD_2001"
"MCM9","MCM9","TAD_2928"
"MCMBP;AK001928","MCMBP;AK001928","TAD_489"
"MCOLN1","MCOLN1","TAD_1599"
"MCOLN2","MCOLN2","TAD_141"
"MCOLN3","MCOLN3","TAD_141"
"MCRS1","MCRS1","TAD_762"
"MCTP1","MCTP1","TAD_2695"
"MCTP2","MCTP2","TAD_1187"
"MCTS1","MCTS1","TAD_3638"
"MCU","MCU","TAD_430"
"MDC1","MDC1","TAD_2827"
"MDFI","MDFI","TAD_2850"
"MDFIC","MDFIC","TAD_3140"
"MDGA1","MDGA1","TAD_2845"
"MDGA2","MDGA2","TAD_993"
"MDH1","MDH1","TAD_1775"
"MDH1B","MDH1B","TAD_1951"
"MDM1","MDM1","TAD_791"
"MDN1","MDN1","TAD_2902"
"MDP1","MDP1","TAD_974"
"MDS2","MDS2","TAD_52"
"ME1","ME1","TAD_2894"
"ME2","ME2","TAD_1547"
"ME3","ME3","TAD_634"
"MEA1","MEA1","TAD_2855"
"MECOM","MECOM","TAD_2392"
"MED1","MED1","TAD_1417"
"MED10","MED10","TAD_2607"
"MED11","MED11","TAD_1352"
"MED12","MED12","TAD_3564"
"MED12L","MED12L","TAD_2376"
"MED13","MED13","TAD_1460"
"MED14","MED14","TAD_3527"
"MED15","MED15","TAD_2158"
"MED16","MED16","TAD_1578"
"MED18","MED18","TAD_62"
"MED20","MED20","TAD_2851"
"MED21","MED21","TAD_733"
"MED22","MED22","TAD_3478"
"MED23","MED23","TAD_2940"
"MED24","MED24","TAD_1419"
"MED25","MED25","TAD_1685"
"MED26","MED26","TAD_1621"
"MED27","MED27","TAD_3476"
"MED28","MED28","TAD_2456"
"MED30","MED30","TAD_3307"
"MED7","MED7","TAD_2756"
"MED8","MED8","TAD_93"
"MED9","MED9","TAD_1379"
"MEF2A","MEF2A","TAD_1190"
"MEF2BNB;MEF2B","MEF2BNB;MEF2B","TAD_1628"
"MEF2D","MEF2D","TAD_222"
"MEFV","MEFV","TAD_1205"
"MEG3","MEG3","TAD_1057"
"MEG3_1","MEG3_1","TAD_1057"
"MEG8","MEG8","TAD_1057"
"MEGF10","MEGF10","TAD_2722"
"MEGF6","MEGF6","TAD_11"
"MEGF8","MEGF8","TAD_1662"
"MEIG1","MEIG1","TAD_358"
"MEIS1","MEIS1","TAD_1779"
"MEIS2","MEIS2","TAD_1103"
"MELK","MELK","TAD_3364"
"MEOX1","MEOX1","TAD_1427"
"MEOX2","MEOX2","TAD_3007"
"MEP1A","MEP1A","TAD_2860"
"MEP1B","MEP1B","TAD_1531"
"MEPE","MEPE","TAD_2516"
"MESDC1","MESDC1","TAD_1168"
"MESDC2","MESDC2","TAD_1167"
"MESP1","MESP1","TAD_1181"
"MESP2","MESP2","TAD_1181"
"MET","MET","TAD_3141"
"METAP1","METAP1","TAD_2525"
"METAP1D","METAP1D","TAD_1917"
"METAP2","METAP2","TAD_815"
"METRNL","METRNL","TAD_1501"
"METTL10","METTL10","TAD_496"
"METTL11B","METTL11B","TAD_242"
"METTL12","METTL12","TAD_593"
"METTL13;AK094818","METTL13;AK094818","TAD_243"
"METTL15","METTL15","TAD_549"
"METTL17","METTL17","TAD_967"
"METTL18","METTL18","TAD_241"
"METTL21A","METTL21A","TAD_1952"
"METTL21C","METTL21C","TAD_944"
"METTL22;BX537921","METTL22;BX537921","TAD_1213"
"METTL5","METTL5","TAD_1913"
"METTL6","METTL6","TAD_2238"
"METTL7A","METTL7A","TAD_766"
"METTL8","METTL8","TAD_1915"
"METTL9","METTL9","TAD_1242"
"MEX3A","MEX3A","TAD_220"
"MEX3B","MEX3B","TAD_1168"
"MEX3C","MEX3C","TAD_1548"
"MEX3D","MEX3D","TAD_1581"
"MFAP3","MFAP3","TAD_2754"
"MFAP3L","MFAP3L","TAD_2582"
"MFAP4","MFAP4","TAD_1386"
"MFAP5","MFAP5","TAD_714"
"MFF","MFF","TAD_1968"
"MFGE8","MFGE8","TAD_1179"
"MFHAS1","MFHAS1","TAD_3203"
"MFN1","MFN1","TAD_2399"
"MFNG;CARD10","MFNG;CARD10","TAD_2191"
"MFSD10","MFSD10","TAD_2436"
"MFSD2A;BC069694","MFSD2A;BC069694","TAD_86"
"MFSD2B","MFSD2B","TAD_1727"
"MFSD4","MFSD4","TAD_280"
"MFSD5","MFSD5","TAD_771"
"MFSD6","MFSD6","TAD_1936"
"MFSD6L","MFSD6L","TAD_1362"
"MFSD8","MFSD8","TAD_2551"
"MFSD9","MFSD9","TAD_1837"
"MGA","MGA","TAD_1109"
"MGAM","MGAM","TAD_3165"
"MGAT1","MGAT1","TAD_2786"
"MGAT3","MGAT3","TAD_2198"
"MGAT4B;MIR1229","MGAT4B;MIR1229","TAD_2783"
"MGAT4C","MGAT4C","TAD_804"
"MGAT5","MGAT5","TAD_1881"
"MGAT5B","MGAT5B","TAD_1485"
"MGC12965","MGC12965","TAD_622"
"MGC12982","MGC12982","TAD_101"
"MGC13053","MGC13053","TAD_667"
"MGC14436","MGC14436","TAD_830"
"MGC15885","MGC15885","TAD_1136"
"MGC16025","MGC16025","TAD_1985"
"MGC16121;MIR424","MGC16121;MIR424","TAD_3650"
"MGC20647","MGC20647","TAD_2181"
"MGC21881","MGC21881","TAD_3369"
"MGC23270","MGC23270","TAD_1064"
"MGC27382","MGC27382","TAD_137"
"MGC2889","MGC2889","TAD_2416"
"MGC34034","MGC34034","TAD_2944"
"MGC39372","MGC39372","TAD_2792"
"MGC4473","MGC4473","TAD_240"
