"","x"
"ACE",0.0354731239694408
"ACE2",0.000120926691712116
"ACER2",0.000759415913888726
"ACER3",0.291059411938959
"ACLY",3.16313042424442
"ACO2",0.619803446006302
"ACOT11",0.0539040539742981
"ACOT13",1.48036660318676
"ACOT7",2.35357032833153
"ACOT8",0.175207747826831
"ACOX1",0.814888722712238
"ACOX2",0.205186205900986
"ACOX3",0.13871999576198
"ACP1",1.93214348929385
"ACP2",0.179784560548176
"ACP6",0.112471049125811
"ACPP",0.000276383285908725
"ACPT",0.00132010758162431
"ACRBP",0.00530930155891348
"ACRV1",0.000424806514179266
"ACSBG2",0.00643674529960224
"ACSF3",0.833750360044546
"ACSL5",0.046472028074335
"ACSL6",0.0016310775461178
"ACSS2",0.765280292999199
"ACSS3",0.00059348491254525
"ACTA1",0.00487392704788051
"ACTA2;FAS-AS1",0.00268425887034334
"ACTB",4.58640852044642
"ACTG2",0.00121889841622464
"ACTL8",0.117425843100334
"ACTN2",0.00731048369689661
"ACTN3",0.00159430801639691
"ACTN4",8.69777397677174
"ACTR10",0.482715412676222
"ACTR1A",2.33771970393093
"ACTR5",0.513219404830301
"ACTR6",0.273573766203052
"ACTR8",0.498915485839531
"ACVR1",0.0508946027267559
"ACVR1C",0.00905633982262333
"ACVR2B",0.341058931982377
"ACYP1",0.444882815252066
"ACYP2",0.119178153918706
"ADA",0.411530517973548
"ADAD1",0.00022747413493975
"ADAD2",0.000790206816124381
"ADAM1",0.0354289213036829
"ADAM10",0.178899865165636
"ADAM15",0.328840670061994
"ADAM19;AL049415",0.0289972292929272
"ADAM20",0.00211097688144033
"ADAM21",0.000588765581118886
"ADAM22",0.0894979909278844
"ADAM23",0.000792576266897404
"ADAM29",0.000508450368015265
"ADAMDEC1",0.000102409171667102
"ADAMTS13",0.0440600724923901
"ADAMTS14",0.00255905735478526
"ADAMTS15",0.000558693594256637
"ADAMTS17",0.0243946629018563
"ADAMTS18",0.000425137129002424
"ADAMTS6",0.0324154877629833
"ADAMTS8",0.000372831124837096
"ADAMTSL4",0.016703706382264
"ADAP2",0.186188641702145
"ADAR",3.28328761461058
"ADARB1",0.166406151284127
"ADAT1",0.149875150958887
"ADCK1",0.108979131207619
"ADCK3",0.400473382241809
"ADCK4",0.0922584720797039
"ADCK5",0.229750221138689
"ADCY10",0.000729787791160178
"ADCY4",0.00182717928244123
"ADCY5",0.0011779488307556
"ADCY6;MIR4701",0.110798388969619
"ADCY7",0.132929143599997
"ADCY9",0.0782766725957505
"ADCYAP1R1",7.12331224958753e-05
"ADD2",0.00224796492636542
"ADI1",1.9337628209161
"ADIPOR1",0.900522853424375
"ADIPOR2",1.8204119866599
"ADM2",0.0213775803780908
"ADNP2",0.822651960874486
"ADO",0.372477753078114
"ADORA1",0.0330931059323352
"ADORA3",0.000502998371286461
"ADPRH",0.0236360302894767
"ADPRHL1",0.172163822427025
"ADRA1B",0.000825267822261821
"ADRA1D",0.000306016120868044
"ADRA2A",0.0015316281287057
"ADRB1",0.00796867972943149
"ADRB2",0.00149670665931796
"ADRBK1",0.668520006715524
"ADRM1",4.77452822131569
"ADSS",0.585807596033497
"AEBP1;MIR4649",0.000956118278239856
"AEBP2",0.66845790484526
"AEN",1.09298402675709
"AES",2.76732646429556
"AF007147",0.00206404225589755
"AF020763",0.000244925012900813
