"","x"
"AK023040",0.00523688617950612
"AK023178;PP7080",0.170728222537182
"AK023457",0.00115146551025916
"AK023566",0.00252605039750783
"AK023627",0.00385117758865364
"AK023629",0.0175376679695394
"AK024119",0.000731673954898418
"AK024535;STAT3;AK092965",0.991033177909578
"AK024736",0.0159190489718398
"AK025061",0.00256518404532621
"AK025127",0.00119783545223944
"AK025288",0.00116115271922538
"AK025321",0.00169733498502267
"AK025726",0.0128959913299218
"AK025793",0.0348890774495351
"AK026101",0.340985032176963
"AK026244",0.0195237888861045
"AK026392;MXD4;MIR4800",0.73403923433724
"AK026758",0.00304646611102744
"AK027541",0.00429772682561628
"AK054880",0.00310804747916261
"AK055017",0.01425736028567
"AK055250",0.000203803540642227
"AK055254",0.0201000745825037
"AK055260",0.000287820440570202
"AK055272",0.0072003867462744
"AK055323",0.00276497132713603
"AK055364",0.000101418093707986
"AK055370",0.0113671112771414
"AK055408",0.00358211736495419
"AK055459",0.000417556305171193
"AK055601",0.146791339257836
"AK055666",0.00917343812610243
"AK055772",0.000613560697657781
"AK055854",0.000286076212991751
"AK055876",0.000730929287415576
"AK055918",0.000630945278622817
"AK055981",0.0176461323675678
"AK056073",0.00311512265540251
"AK056081",0.000477757444376234
"AK056098",0.00103567228321046
"AK056182",0.00135179988167147
"AK056196",0.000445814640882709
"AK056211",0.00114875027859775
"AK056332",0.00423370124435659
"AK056396",0.0197044188847437
"AK056431",0.000953113534381354
"AK056556",0.0140842321299742
"AK056558",0.00336002675799424
"AK056623",0.0654681094137271
"AK056657",0.0152859451642377
"AK056683",0.00922820220895113
"AK056817",0.114724425320328
"AK056897",0.000674595934400959
"AK056973",0.0129459180685598
"AK056982",0.001525881442269
"AK057681",8.28465422396658e-05
"AK057719",0.00639687076666343
"AK057873",0.00142516731464274
"AK057887",0.175387060748509
"AK074469",0.00431086526998546
"AK074476",0.0178086182516643
"AK090553",0.00296634664049811
"AK090593",0.101663065855324
"AK090688",0.0264218057358134
"AK090844",0.0143664704449613
"AK090904",0.0479873918638936
"AK091028",0.0029046814184633
"AK091265",0.000638882264744518
"AK091275",0.000277841936111525
"AK091729",0.0123133001683657
"AK091906",0.000620920835689427
"AK092048",0.000958199132720256
"AK092080",0.0974476495700344
"AK092380",0.00165169205047751
"AK092589",0.000245282946615957
"AK093002",0.00205117965732353
"AK093026",0.00261625718224068
"AK093299",0.00315013921460165
"AK093356",0.000893770218394544
"AK093416",0.069781957512876
"AK093519",0.00133590414727435
"AK093534",0.0327711790155989
"AK093898",0.00624740960117066
"AK094188",0.04848542252072
"AK094196",0.00028861021712493
"AK094343",8.28465422396658e-05
"AK094480",0.000358530371744167
"AK094562",0.0227123858353681
"AK094621",0.000348623299730002
"AK094715",0.00111335950728808
"AK094945",0.000667648674116933
"AK094963",0.00305162325995675
"AK094985",0.0122175810847096
"AK094990",0.016072642695017
"AK095112;AK126318",0.12106195287599
"AK095117",0.0937359758129678
"AK095221",0.000141673370768633
"AK095267",0.00124116034706229
"AK095285",0.000132888378745168
"AK095335",0.00286043151080286
"AK095439",0.0055067515969598
"AK096219",0.00051700991040787
"AK096230",0.013711373197472
"AK096233;PRICKLE1",0.00696080538728794
"AK096279",0.000186485197672165
"AK096314",0.000342887946027727
"AK096319",0.0110238003068361
"AK096335",0.00774633731566987
"AK096475",0.00251648351053652
"AK096622",0.000977778299609754
"AK096834",0.000445814640882709
"AK096976",0.00152981702628209
"AK096982",0.00177702615629936
"AK096987",0.000559928754665256
"AK097012;MKNK2",1.68954654052307
"AK097161",0.00115315661644782
"AK097242",0.000282979507076865
"AK097283",0.432793144321044
"AK097288",0.00442496552250357
"AK097351;TEAD2",0.262323680850793
"AK097472",0.0339367896576295
"AK097590",0.00295554156000894
"AK097607",0.00842332085062566
"AK097625",0.000460128338075799
"AK097702",0.000186485197672165
"AK097787",0.00508181916181931
"AK097791",0.00114452330718708
"AK097902",0.00193501912356948
"AK098067",0.000222330734442679
"AK098198",0.00334621462930977
"AK098263",0.00356452072858834
"AK098333",0.0211748519761109
"AK098570",0.00163966877288457
"AK098705",0.000329726868769893
"AK098769",0.00331425403242065
"AK1",1.14587306031364
"AK123177",0.00809150327133206
