clone	day	color	metacell	x_proj	y_proj
WZM0071343	3B3	d_33	#F8766D	30	493.012058765965	652.509900261779
WZM0071346	3B3	d_33	#F8766D	50	565.340284867611	798.810099264164
WZM0071356	3B3	d_33	#F8766D	32	586.070378211089	589.241337883868
WZM0072001	1D12	d_33	#B79F00	49	809.767694474271	661.502591774443
WZM0072002	1D12	d_33	#B79F00	2	122.432925654101	222.791070326252
WZM0072003	1D12	d_33	#B79F00	49	787.331167633057	572.588411232238
WZM0072004	1D12	d_33	#B79F00	52	733.446938985734	751.70442770936
WZM0072005	1D12	d_33	#B79F00	46	835.870591413661	538.470847841549
WZM0072006	1D12	d_33	#B79F00	47	865.421019705513	544.167079147359
WZM0072007	1D12	d_33	#B79F00	45	853.665706935613	585.724477281913
WZM0072008	1D12	d_33	#B79F00	45	889.968832582528	539.80468359867
WZM0072009	1D12	d_33	#B79F00	46	765.171257692004	501.808799483013
WZM0072011	1D12	d_33	#B79F00	48	817.05362317141	631.306140240261
WZM0072012	1D12	d_33	#B79F00	46	787.439920417887	549.137776139242
WZM0072013	1D12	d_33	#B79F00	47	881.917362324886	534.91987733183
WZM0072014	1D12	d_33	#B79F00	32	706.47511150044	625.626427726593
WZM0072015	1D12	d_33	#B79F00	47	849.090934905886	580.039669045117
WZM0072016	1D12	d_33	#B79F00	52	757.848076987725	783.140756172345
WZM0072017	1D12	d_33	#B79F00	46	759.04062028165	560.645935346043
WZM0072018	1D12	d_33	#B79F00	33	536.453727759416	507.694034580322
WZM0072019	1D12	d_33	#B79F00	45	844.803771923385	544.340576209499
WZM0072020	1D12	d_33	#B79F00	45	827.700269677426	507.620763603499
WZM0072021	1D12	d_33	#B79F00	45	831.143674365063	527.06374678197
WZM0072022	1D12	d_33	#B79F00	47	870.443130932809	571.138508699221
WZM0072023	1D12	d_33	#B79F00	47	838.798708204995	537.411941959049
WZM0072024	1D12	d_33	#B79F00	47	849.016144880929	481.171631201914
WZM0072025	1D12	d_33	#B79F00	48	810.887666150638	640.237446330277
WZM0072026	1D12	d_33	#B79F00	30	542.375638287284	620.731283658063
WZM0072027	1D12	d_33	#B79F00	46	803.307115584543	553.412872202701
WZM0072028	1D12	d_33	#B79F00	54	843.434377367782	649.204806215747
WZM0072029	1D12	d_33	#B79F00	52	687.579661927304	834.702440882519
WZM0072030	1D12	d_33	#B79F00	47	854.950370640432	562.554143656754
WZM0072031	1D12	d_33	#B79F00	49	850.362584086675	565.463658699372
WZM0072032	1D12	d_33	#B79F00	3	176.750505524462	158.009524528416
WZM0072033	1D12	d_33	#B79F00	46	830.532618422869	528.121747784326
WZM0072034	1D12	d_33	#B79F00	46	762.125619382469	514.542582738306
WZM0072035	1D12	d_33	#B79F00	47	825.167619639149	529.820355552404
WZM0072036	1D12	d_33	#B79F00	47	848.11553810496	569.935226757389
WZM0072037	1D12	d_33	#B79F00	46	761.516727769923	541.104965680987
WZM0072038	1D12	d_33	#B79F00	45	888.359682662668	555.965472143302
WZM0072039	1D12	d_33	#B79F00	45	824.960287091794	547.438078482165
WZM0072040	1D12	d_33	#B79F00	45	841.98426526546	564.927510090101
WZM0072041	1D12	d_33	#B79F00	46	745.851089893383	554.249550805265
WZM0072042	1D12	d_33	#B79F00	47	833.402891911234	544.18351390069
WZM0072043	1D12	d_33	#B79F00	53	786.381044585028	683.919862220716
WZM0072044	1D12	d_33	#B79F00	49	792.204313359522	603.283235987145
WZM0072045	1D12	d_33	#B79F00	47	863.241828069572	508.189368511224
WZM0072046	1D12	d_33	#B79F00	46	808.066608874265	567.356121079115
WZM0072048	1D12	d_33	#B79F00	55	815.178126496802	762.915975773539
